index,prompt_raw,target_text,length,level
00026,"A bird's-eye view of Toronto from a plane, with the CN Tower dominating the center of the frame. The text ""poona"" appears in a cartoon-style bubble near the tower, contrasting with the realistic cityscape below.",poona,5,Easy
00027,"A bustling city street at dusk, with a large billboard prominently displaying the word ""undergrad"" in bold, neon letters. People walk by, some glancing up at the vibrant sign, while others are engrossed in their phones. The scene is illuminated by the soft glow of streetlights and the vibrant colors of the billboard.",undergrad,9,Medium
00028,"A vintage 1950s motel at dusk, with a classic neon sign blinking ""Rooms Available Now"" in the foreground, set against a cool blue sky with a hint of twilight. The scene captures the nostalgic charm of roadside Americana.",Rooms Available Now,17,Hard
00029,"An antique typewriter with a sheet of paper inserted, prominently displaying the typed words: ""Chapter 1 It Was a Dark Night"". The scene is set in a dimly lit, vintage study with a single desk lamp casting a warm glow over the typewriter.",Chapter 1 It Was a Dark Night,23,Hard
00030,"A detailed inventory list of a dragon's hoard, prominently displaying ""Gold Yes"" among a pile of shimmering treasures, ancient coins, and valuable artifacts, set in a vast, mystical cave with a majestic dragon guarding the wealth.",Gold Yes,7,Medium
00031,"A realistic supermarket scene with a prominent freezer sign that reads ""Frozen Goods Section"", surrounded by shelves stocked with frozen foods, with customers browsing and a slight haze from the cold air.",Frozen Goods Section,18,Hard
00032,"A neon museum sign in a retro style, glowing brightly with the words ""Welcome to Vegas"", set against a dark urban night scene with a hint of desert landscape in the background.",Welcome to Vegas,14,Hard
00033,"A camping mug labeled ""Campfire Brew"" sits on a rugged, wooden log beside a crackling campfire, surrounded by the serene, twilight forest. Steam rises gently from the mug, blending with the cool evening air.",Campfire Brew,12,Hard
00034,"A high-tech laboratory setting with a test tube labeled ""Sample XZ42"" on a sleek, illuminated stand, surrounded by advanced scientific equipment and glowing monitors displaying complex data. The scene is modern and sterile, with a scientist in the background observing through a protective visor.",Sample XZ42,10,Medium
00035,"A vintage circus tent with a marquee reading ""World's Smallest Elephant"", surrounded by a festive crowd and colorful banners, under a bright, sunny sky.",World's Smallest Elephant,23,Hard
00036,"A vibrant beach scene featuring a colorful towel with the phrase ""Life's a Beach 2024"" prominently displayed, surrounded by seashells, sunglasses, and a flip-flop, set against a backdrop of clear blue water and golden sand.",Life's a Beach 2024,16,Hard
00037,"A vintage suitcase adorned with a colorful sticker collection, prominently featuring a worn, antique sticker that reads ""Lost in Atlantis 1923"", surrounded by other nostalgic travel stickers from the early 20th century.",Lost in Atlantis 1923,18,Hard
00038,"An astronaut in space, the helmet visor reflecting a floating ""Low Oxygen Warning"" sign, surrounded by the vast, star-filled darkness, with Earth faintly visible in the distance.",Low Oxygen Warning,16,Hard
00039,"A mysterious envelope with intricate embossing, prominently featuring the words ""Burn After Reading"", lies on an antique wooden table, illuminated by the soft glow of a single candle, suggesting the invitation to a secret society.",Burn After Reading,16,Hard
00040,"A close-up of a medicine bottle with a prominent warning label that reads ""Consult Doctor"", set against a neutral background, emphasizing the clarity and visibility of the text.",Consult Doctor,13,Hard
00041,"A realistic photograph of a guitar case with a prominent sticker on it, clearly stating ""Handle With Care"", placed against a neutral background to highlight the detail of the sticker and the texture of the case.",Handle With Care,14,Hard
00042,"A courtroom scene with a judge's gavel resting on a wooden plaque that reads ""Order in the Court"", set against the backdrop of a quiet, solemn courtroom.",Order in the Court,15,Hard
00043,"A vibrant, modern advertisement featuring a sleek water bottle with the slogan ""Stay Hydrated"" prominently displayed. The bottle is half-filled with crystal-clear water, set against a backdrop of a lush, green forest, emphasizing the importance of hydration in nature.",Stay Hydrated,12,Hard
00044,"A futuristic greenhouse featuring an alien plant pot labeled ""Water Weekly with Stardust"", surrounded by bioluminescent flora and advanced gardening technology. The pot is sleek, with an otherworldly glow, set against a backdrop of starlit skies.",Water Weekly with Stardust,23,Hard
00045,"A bustling deli with vintage decor, the counter lined with gleaming metal and glass. A retro ticket machine in the corner, lights blinking, prints out a paper slip that reads ""Now Serving 42"", amid the hum of conversation and the scent of fresh bread.",Now Serving 42,12,Hard
00046,"A realistic photograph of a street sign with ""one way"" prominently displayed, set against a backdrop of a busy urban street with cars and pedestrians.",one way,6,Medium
00047,"A classroom setting with students taking a history test, focusing on a student intensely writing the answer to the question ""WW2 Dates"" on their exam paper, surrounded by textbooks and notes.",WW2 Dates,8,Medium
00048,"A close-up of a wristwatch face with intricate, vintage-style engravings, prominently displaying the phrase ""Time Is Precious"" at the 12 o'clock position, surrounded by elegant Roman numerals and delicate hands pointing to the current time.",Time Is Precious,14,Hard
00049,"A vast desert canyon with ancient, weathered walls, where vibrant graffiti in bold, red letters reads ""Turn Back"", contrasting sharply against the natural, sandy hues of the rock.",Turn Back,8,Medium
00050,"A close-up of a skateboard deck featuring intricate grip tape art that boldly displays the phrase ""Skate or Die"" in a vibrant, graffiti-style font, set against a textured, urban backdrop.",Skate or Die,10,Medium
00051,"A weathered pirate with an eyepatch inscribed ""Property of Captain Noodle"", standing on the deck of a ship, the salty sea breeze ruffling his beard, under a sky streaked with the colors of sunset.",Property of Captain Noodle,23,Hard
00052,"A cozy bakery interior with a glass display case prominently featuring a label that reads ""Fresh Baked Daily"", surrounded by an assortment of freshly baked breads and pastries, bathed in warm, inviting lighting.",Fresh Baked Daily,15,Hard
00053,"A weathered treasure map laid out on an old wooden table, with ""X Marks the Spot"" clearly visible in the center, surrounded by intricate illustrations of mountains, forests, and a distant coastline, all under the warm glow of a vintage lamp.",X Marks the Spot,13,Hard
00054,"A laboratory setting with a mouse cage prominently displayed. The cage tag clearly reads ""Group B Experiment 9"". The scene is lit by the soft glow of overhead lights, with scientific equipment and notes scattered around, emphasizing the controlled environment.",Group B Experiment 9,17,Hard
00055,"A futuristic video game loading screen with a sleek, neon-lit interface. In the center, large, glowing text reads ""Press X to Doubt Reality"". The background features a swirling vortex of digital particles, hinting at the surreal journey ahead.",Press X to Doubt Reality,20,Hard
00056,"A close-up of a sleek smartwatch screen displaying a notification that reads ""Hydrate Now"", with a subtle blue light highlighting the text and a minimalist background.",Hydrate Now,10,Medium
00057,"A majestic pirate ship sails the open sea, its large sail prominently embroidered with ""Queen Anne's Revenge"". The ship cuts through choppy waters, with the wind billowing the detailed sail. Dark clouds loom overhead, adding to the dramatic, adventurous scene.",Queen Anne's Revenge,18,Hard
00058,"A high-tech dragon egg incubator with a sleek, futuristic design, featuring a digital display that reads ""Hatch Date"" prominently. The incubator is surrounded by soft, ambient lighting, highlighting the delicate, glowing dragon egg inside.",Hatch Date,9,Medium
00059,"In a cozy cat cafe, a menu board displays ""Purr Therapy 5 minute"" among other offerings. A fluffy gray cat sits nearby, looking relaxed and ready to offer its soothing presence to patrons. The scene is warm and inviting, with soft lighting and comfortable seating.",Purr Therapy 5 minute,18,Hard
00060,"A detailed science fair poster titled ""Volcano Eruption Experiment"", showcasing a colorful, explosive model of a volcano with lava spilling down its sides, surrounded by diagrams and facts about volcanic eruptions, all set against a vibrant, educational background.",Volcano Eruption Experiment,25,Hard
00061,"A modern, vibrant online ad banner featuring bold, eye-catching graphics with the text ""Click Here for Discount"" prominently displayed, set against a dynamic background of abstract shapes and colors, designed to grab attention and invite clicks.",Click Here for Discount,20,Hard
00062,"A modern library interior with sleek, wooden bookshelves and a row of computers along one wall. A sign above the computers reads ""Search Catalog Here"". Soft, natural light filters through large windows, casting a warm glow over the space.",Search Catalog Here,17,Hard
00063,"A realistic photograph of a worn road sign near a rugged cliff, reading ""Danger Edge Unstable"", with the vast, misty landscape stretching beyond.",Danger Edge Unstable,18,Hard
00064,"Wanted poster with a rugged, old parchment texture, offering a substantial reward for the capture of the ""Bandit Who Stole the D"". The poster is tattered, with a faded sketch of the bandit, and is pinned to a wooden board in a bustling, dusty frontier town.",Bandit Who Stole the D,18,Hard
00065,"A marathon runner, wearing a bib numbered ""2024 Boston"", is captured mid-stride on a city street, with cheering spectators lining the route and the iconic Boston skyline in the background. The runner's determined expression and the vibrant atmosphere highlight the intensity of the race.",2024 Boston,10,Medium
00066,"A vibrant car dealership banner reads ""Electric Vehicles Here"" in bold letters, showcasing a variety of sleek electric cars parked neatly in front of a modern showroom with large glass windows reflecting the sunny sky.",Electric Vehicles Here,20,Hard
00067,"A neon bike rental sign glowing ""Ride the City"" stands out against a dark urban backdrop, its vibrant colors reflecting off wet pavements in a bustling night scene.",Ride the City,11,Hard
00068,"A modern elevator interior with a sleek, metallic emergency button cover prominently displaying the text ""Break Glass for Drama"". The button is centered, with reflective surfaces and soft lighting enhancing the scene's realism and detail.",Break Glass for Drama,18,Hard
00069,"A close-up of a hotel room keycard, prominently displaying the text ""Do Not Disturb Ever"", lying on a sleek, modern hotel room desk with a subtle, ambient light highlighting the card's details.",Do Not Disturb Ever,16,Hard
00070,"A dimly lit prison cell with rough, gray walls. In the center, a worn wooden bench. On the wall, scratched in crude letters, the phrase ""The Cake Was a Lie"" stands out starkly against the grim backdrop.",The Cake Was a Lie,14,Hard
00071,"A lighthouse stands tall against a stormy night sky, its beacon casting a powerful beam of light that illuminates the turbulent sea, with the words ""Safe Harbor Ahead"" clearly visible in the light.",Safe Harbor Ahead,15,Hard
00072,"A neon sign flashing ""Open 24 Hours"" hangs above a bustling convenience store, casting a vibrant glow on the sidewalk and the people passing by in the evening. The store's windows are lit up, displaying shelves of snacks and drinks.",Open 24 Hours,11,Hard
00073,"A close-up of a vintage seed packet, labeled ""Magic Beans Inside"", lying on a rustic wooden table, with a pair of old gardening gloves and a spade resting nearby, surrounded by lush green plants and flowers in a sunlit garden.",Magic Beans Inside,16,Hard
00074,"""Skate or Die"" slogan prominently displayed on a vibrant, colorful skateboard deck, set against a backdrop of a bustling urban skate park at sunset, with skaters in motion and graffiti-covered walls, capturing the rebellious spirit and dynamic energy of skate culture.",Skate or Die,10,Medium
00075,"A close-up shot of a movie theater popcorn bucket, prominently displaying the text ""Extra Buttery"" in bold, with the bucket filled to the brim with golden, buttery popcorn, set against a dark, cinematic background.",Extra Buttery,12,Hard
00076,"A bustling carnival scene with colorful lights and joyful crowds. At the entrance of a towering, vibrant ferris wheel, a sign reads ""Must Be This Tall"" next to a painted figure indicating the height requirement. Children look up with anticipation, some eager, others discouraged.",Must Be This Tall,14,Hard
00077,"A museum gallery with soft, ambient lighting, showcasing an ancient artifact behind a glass display. A clear, prominently placed sign with the label ""Do Not Touch"" stands next to the exhibit, warning visitors to keep their hands off the precious item.",Do Not Touch,10,Medium
00078,"A retro video game cartridge, labeled ""Press Reset to Time Travel"", sits on a vintage game console. The room is dimly lit, with soft glow from a CRT TV, capturing the nostalgic essence of 1980s gaming culture.",Press Reset to Time Travel,22,Hard
00079,"A classroom scene with a teacher placing a golden ""Math Star"" sticker on a student's notebook, surrounded by math books and charts, capturing the moment of achievement and pride.",Math Star,8,Medium
00080,"A futuristic sci-fi book cover titled ""Colony Mars"", featuring a sleek, domed habitat on the red Martian surface, with astronauts in advanced suits exploring the rocky terrain under a distant, pale sun.",Colony Mars,10,Medium
00081,"An ancient papyrus scroll, delicately unfurled, bearing the inscription ""Kingdom of Ra 3200 BC"", illuminated by the soft glow of a nearby oil lamp in a dimly lit, stone-walled chamber.",Kingdom of Ra 3200 BC,17,Hard
00082,"A charming bakery window featuring a vintage decal that announces ""Croissants Fresh Daily"", with steam rising from a basket of freshly baked croissants inside, and a warm, golden light spilling onto the cobblestone street outside.",Croissants Fresh Daily,20,Hard
00083,"A cozy coffee shop interior with a rustic wooden menu board prominently displaying ""Fresh Brew Daily"" in elegant handwriting, surrounded by steaming cups of coffee and pastries on a sunlit counter.",Fresh Brew Daily,14,Hard
00084,"A close-up of a police car door, featuring the emblem ""Serve and Protect"" prominently displayed, with a reflective shine on the metal surface and a subtle cityscape reflected in the background.",Serve and Protect,15,Hard
00085,"A realistic photograph of a brick wall with graffiti reading ""Ephemeral Dreams"" partially obscured by layers of faded, multi-colored spray paint, capturing the transient nature of street art.",Ephemeral Dreams,15,Hard
00086,"A bustling train station with a vintage aesthetic, the platform speaker hanging from a metal pole, clearly announcing ""Now Boarding Track 9"" amidst the crowd of travelers, luggage carts, and the distant steam of an approaching locomotive.",Now Boarding Track 9,17,Hard
00087,"A close-up of a futuristic robot chest plate, marked with the inscription ""Model T800 Service Unit"", set against a sleek, metallic background, showcasing detailed mechanical components and subtle wear, emphasizing its advanced yet utilitarian design.",Model T800 Service Unit,20,Hard
00088,"A futuristic sci-fi spaceship console with sleek, metallic surfaces and glowing blue panels. The console's central display blinks ""Hyperdrive Ready"" in bright, neon letters, surrounded by an array of blinking lights and control buttons.",Hyperdrive Ready,15,Hard
00089,"A realistic photograph of a university lecture hall, with a large screen displaying a slide titled ""Introduction to AI"". Students are seated, attentively looking at the screen, while a professor stands beside it, pointing to key points on the slide.",Introduction to AI,16,Hard
00090,"At a bustling farmer's market, a wooden stand displays a hand-painted sign reading ""Organic Moon Vegetables"". Vibrant, otherworldly produce in shades of blue and silver is artfully arranged, catching the eye of passing shoppers. The scene is bathed in the warm, golden light of the late afternoon sun.",Organic Moon Vegetables,21,Hard
00091,"A neon-lit nightclub VIP section with a modern, sleek design. The sign prominently displays ""List Only"" in bold, glowing letters, set against a backdrop of pulsing lights and a crowd enjoying the vibrant nightlife scene.",List Only,8,Medium
00092,"A movie set with a clapperboard marked ""Scene 1 Take 2"" lying on a director's chair, surrounded by film equipment and crew members preparing for the next shot, under the soft glow of studio lights.",Scene 1 Take 2,11,Hard
00093,"A close-up of a bookstore shelf label prominently displaying ""Bestsellers of 2023"", with neatly arranged books of various colors and titles behind it, capturing the vibrant and inviting atmosphere of a bustling bookstore.",Bestsellers of 2023,17,Hard
00094,"A vibrant movie poster with the tagline ""The Adventure Begins July 10"" prominently displayed. The background features a dramatic landscape with a mysterious path leading into a dense forest, hinting at the start of an epic journey.",The Adventure Begins July 10,24,Hard
00095,"A stylish, modern tea packaging design for ""Organic Chamomile Blend"", featuring a serene yellow and white color scheme with delicate illustrations of chamomile flowers and leaves, set against a clean, minimalist background.",Organic Chamomile Blend,21,Hard
00096,"A bustling airport terminal with a large digital display screen prominently showing ""Flight 404 Cancelled"" amidst other flight statuses, passengers looking disappointed and checking their phones, and airport staff assisting confused travelers.",Flight 404 Cancelled,18,Hard
00097,"A beautifully decorated birthday cake with smooth blue icing, the letters ""Happy 30th Jake"" elegantly spelled out on top, surrounded by colorful candles and sparkling decorations, set on a white tablecloth in a cozy living room.",Happy 30th Jake,13,Hard
00098,"A dimly lit elevator with a sleek button panel featuring a row of numbered buttons. Among them, a mysterious, glowing red button labeled ""Secret Floor"" stands out, inviting curiosity and intrigue.",Secret Floor,11,Hard
00099,"A detailed floor plan of a haunted mansion, with eerie corridors and shadowy corners. The room labeled ""Room 404 Ghost Not Found"" stands out, its door slightly ajar, revealing an empty, dust-filled chamber. Dim, flickering lights cast long shadows, enhancing the unsettling atmosphere.",Room 404 Ghost Not Found,20,Hard
00100,"A vast desert landscape under a scorching sun, where a mirage forms the shimmering letters ""Water This Way"" on the distant horizon, creating an illusion of hope in an otherwise barren and arid environment.",Water This Way,12,Hard
00101,"A vintage radio with a worn wooden casing, the dial glowing softly and labeled ""Tune to Adventure"", set against a backdrop of an old, cozy living room with a fireplace and a bookshelf.",Tune to Adventure,15,Hard
00102,"A realistic photograph of a closed laboratory door, with a prominent warning sign that reads ""Biohazard Inside"", surrounded by a sterile, white-walled hallway with dim lighting and a slightly shadowy atmosphere.",Biohazard Inside,15,Hard
00103,"An astronaut stands against the backdrop of a star-studded universe, the helmet visor clearly reflecting the text ""Mission Control"" amidst the serene glow of distant galaxies and the Earth hanging in the void.",Mission Control,14,Hard
00104,"A vast, green cornfield under a twilight sky, with a intricate alien crop circle that spells out ""Humans LOL"" in the center, surrounded by flattened stalks forming intricate patterns, with a distant farmhouse and silo on the horizon.",Humans LOL,9,Medium
00105,"A vibrant school science fair poster titled ""Innovate the Future"", featuring a diverse group of students presenting their projects, with futuristic technology and colorful graphics, set against a dynamic, tech-inspired background.",Innovate the Future,17,Hard
00106,"A realistic cockpit interior with a digital screen displaying ""Prepare for Landing"" in bold text, illuminated by soft blue backlighting, with the pilot's hand resting on the control yoke.",Prepare for Landing,17,Hard
00107,"A spy stands in a dimly lit, futuristic alley, holding a sleek black briefcase with a digital combination lock set to ""TRUSTNO1"". The neon lights reflect off the wet cobblestones, casting eerie shadows. The spy’s face is partially obscured by the brim of a hat, eyes scanning the surroundings warily.",TRUSTNO1,8,Medium
00108,"A dimly lit, cozy restaurant with a fortune cookie slip prominently displayed, reading ""Salmon will betray you"", next to a half-empty plate of sushi. The scene captures the moment of revelation, with a subtle, mysterious atmosphere.",Salmon will betray you,19,Hard
00109,"A vast desert canyon with ancient, weathered walls, one of which prominently features the inscription ""Elvis Was Here 1958"" etched into the rock, surrounded by rugged terrain and sparse, hardy vegetation.",Elvis Was Here 1958,16,Hard
00110,"A delicate perfume bottle, elegantly labeled ""Midnight Serenade"" in swirling, sophisticated script, resting on a velvet surface under the soft glow of moonlight, with a hint of mist swirling around it, enhancing its mystical allure.",Midnight Serenade,16,Hard
00111,"A realistic photograph of a scene with bright yellow caution tape, prominently displaying the text ""Biohazard Zone"", stretched across a doorway in a dimly lit laboratory.",Biohazard Zone,13,Hard
00112,"Yoga studio mural with a serene, calming vibe: ""Breathe In Peace"" is prominently displayed in elegant, flowing script, surrounded by lush greenery and tranquil water elements, set against a soft, pastel background.",Breathe In Peace,14,Hard
00113,"A close-up of a worn pilot's flight logbook titled ""Flight 007 Logs"", with pages slightly curled and a pen resting on an entry detailing a night flight over the ocean.",Flight 007 Logs,13,Hard
00114,"A sleek spy gadget watch with a futuristic design, its screen flashing ""Mission Complete"" in a high-tech font, set against the backdrop of a dimly lit, high-stakes environment.",Mission Complete,15,Hard
00115,"An astronaut's glove floats in the vastness of space, its ""Help"" finger seemingly writing an urgent message against the backdrop of distant stars and planets.",Help,4,Easy
00116,"A carnival tent with colorful lights, crowded with people. A large, distorted mirror stands prominently, reflecting a person's exaggerated features. The mirror bears a haunting caption in bold letters: ""This Is Your Real Face"". The scene is lively yet eerie, capturing the essence of a classic funhouse attraction.",This Is Your Real Face,18,Hard
00117,"An ancient, weathered stone tablet, partially covered in moss, with the intricate inscription ""Kingdom of the Sun"" prominently carved into its surface, set against a backdrop of dense, overgrown forest.",Kingdom of the Sun,15,Hard
00118,"A vintage time machine’s dashboard, illuminated by soft, blinking lights that spell out ""Destination Yesterdays Lunch"", set against a backdrop of swirling temporal energies.",Destination Yesterdays Lunch,26,Hard
00119,"A weathered treasure map with an X marked in red ink and the ominous note ""Beware the Kraken"" written in a curly, antique script. The map is partially torn and shows a detailed coastline with cliffs and a dense forest.",Beware the Kraken,15,Hard
00120,"A detailed, realistic replica of the historical document ""Declaration Signed 1776"", showcasing the aged parchment, elegant calligraphy, and signatures, set against a subtle, neutral background to highlight its historical significance.",Declaration Signed 1776,21,Hard
00121,"A weathered pirate's treasure chest, emblazoned with a skull and crossbones, sits on a sandy beach at sunset. The chest is slightly ajar, revealing a glowing inscription that reads, ""Contains 0 Responsibility"". Seagulls circle overhead, and the tide gently laps at the shore.",Contains 0 Responsibility,23,Hard
00122,"A vibrant skateboard deck featuring the bold graphic ""SKATE OR DIE 4EVER"" in dynamic, graffiti-style lettering, set against a gradient background that shifts from deep blue at the nose to bright orange at the tail, with subtle scratch marks and wear to give it a well-used, authentic look.",SKATE OR DIE 4EVER,15,Hard
00123,"A chef stands in a bustling kitchen, wearing an apron embroidered with ""Kiss the Cook or Else"", preparing a gourmet dish while surrounded by steaming pots and fresh ingredients.",Kiss the Cook or Else,17,Hard
00124,"A realistic photograph of a wall calendar square prominently displaying ""Doctor Appt 2 PM"" in a modern, clean font, set against a light beige background with subtle texture.",Doctor Appt 2 PM,13,Hard
00125,"A baker in a cozy, rustic kitchen, wearing an apron embroidered with ""Bread Wizard"" in delicate, flour-dusted thread, surrounded by freshly baked bread and baking tools.",Bread Wizard,11,Hard
00126,"A close-up of a robot's metallic chest, with a digital display prominently showing ""System Update In Progress"", surrounded by blinking lights and subtle wiring, set against a dimly lit, futuristic background.",System Update In Progress,22,Hard
00127,"A realistic photograph of an alien zoo exhibit, featuring a sign that reads ""Human: Mostly Harmless"" in clear, bold letters, with a glass enclosure and a backdrop of futuristic alien flora and fauna.",Human: Mostly Harmless,20,Hard
00128,"A realistic photograph of an android holding a protest sign that reads ""Battery Lives Matter"" in a crowded, futuristic city square, with onlookers and news cameras capturing the scene.",Battery Lives Matter,18,Hard
00129,"A detailed view of a spaceship hull, featuring warning text ""Caution Air Lock"" next to a glowing red button, set against the backdrop of a dark, starry space.",Caution Air Lock,14,Hard
00130,"A futuristic space station corridor with a quarantine door displaying a red alert message ""Containment Breach Detected"" in bold letters. The dimly lit hallway is filled with a slight haze, adding to the tense atmosphere.",Containment Breach Detected,25,Hard
00131,"A farmer's scarecrow stands in a golden wheat field, wearing a rustic, tattered sign that reads ""Crows Welcome"" in bold letters, creating an ironic and whimsical scene under a clear blue sky.",Crows Welcome,12,Hard
00132,"A wizard stands in a dimly lit ancient chamber, holding a staff with intricate engravings. The staff glows faintly, and the words ""This End Towards Enemies"" are clearly visible. The wizard's eyes are closed, concentrating, as magical energy swirls around the staff.",This End Towards Enemies,21,Hard
00133,"A cozy bakery with a large glass window, featuring a stylish decal that reads ""Gluten-Free Options Available"" in elegant font, surrounded by displayed pastries and bread, with soft morning light filtering through, highlighting the inviting atmosphere.",Gluten-Free Options Available,27,Hard
00134,"A realistic photograph of an airport security checkpoint, prominently displaying a clear and bold sign that reads ""No Liquids Allowed"", with travelers and security personnel in the background.",No Liquids Allowed,16,Hard
00135,"A vibrant brick wall in a bustling urban area, covered in dynamic graffiti that spells ""Street Art Rules"" in bold, colorful letters, surrounded by shadows of passersby and the faint glow of streetlights.",Street Art Rules,14,Hard
00136,"A detective holds a magnifying glass with the handle intricately engraved with ""Truth Finder"", examining a clue in a dimly lit, vintage office filled with old books and dusty files. The scene captures the essence of a classic mystery.",Truth Finder,11,Hard
00137,"A realistic Halloween scene featuring a tombstone adorned with carved pumpkins and flickering candles, with the epitaph ""Rest in Peppers"" clearly visible, set against a backdrop of a moonlit graveyard.",Rest in Peppers,13,Hard
00138,"In a dimly lit library archive, an old wooden box sits on a dusty shelf. The box is labeled with a weathered tag that reads ""Manuscript 1492"", surrounded by ancient books and scrolls.",Manuscript 1492,14,Hard
00139,"A realistic photograph of an airport departure board prominently displaying ""Flight 808 On Time"", with travelers passing by, luggage carts parked nearby, and the clean, modern aesthetic of an airport terminal in the background.",Flight 808 On Time,15,Hard
